City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Kodiak,US,57.79,-152.4072,33.31,75,75,9.22,broken clouds
305,Villa Carlos Paz,AR,-31.4241,-64.4978,78.06,34,0,5.99,clear sky
306,Naze,JP,28.3667,129.4833,58.12,65,100,11.5,overcast clouds
307,Raudeberg,NO,61.9875,5.1352,36.27,90,100,2.04,overcast clouds
308,Husavik,IS,66.0449,-17.3389,30.67,96,100,13.27,snow
309,Rawson,AR,-43.3002,-65.1023,62.01,29,83,19.69,broken clouds
310,Saint-Pierre,RE,-21.3393,55.4781,74.88,88,100,3.44,overcast clouds
311,Mazeikiai,LT,56.3167,22.3333,29.8,82,80,7.49,broken clouds
312,Lumby,CA,50.2498,-118.969,47.55,74,100,6.06,overcast clouds
313,Verkhnevilyuysk,RU,63.4453,120.3167,-7.47,100,50,2.91,scattered clouds
314,Meulaboh,ID,4.1363,96.1285,74.26,85,100,4.5,overcast clouds
315,Lingsugur,IN,16.1667,76.5167,90.48,20,55,7.09,broken clouds
316,Taiyuan,CN,37.8694,112.5603,46.26,39,0,2.24,clear sky
317,Cambridge,CA,43.3601,-80.3127,40.15,77,100,13.8,overcast clouds
318,Dingle,PH,10.9995,122.6711,75.69,88,59,6.78,broken clouds
319,Sakakah,SA,29.9697,40.2064,85.57,11,85,6.04,overcast clouds
320,Vadso,NO,70.0744,29.7487,25.68,93,100,20.71,snow
321,Cap Malheureux,MU,-19.9842,57.6142,78.48,83,67,3.0,broken clouds
322,Paka,MY,4.6374,103.4368,78.73,89,100,0.0,overcast clouds
323,Outlook,CA,51.5001,-107.0513,44.82,44,19,5.46,few clouds
324,Strangnas,SE,59.3774,17.0312,40.98,54,98,7.02,overcast clouds
325,Esna,EG,25.2934,32.554,96.82,8,100,8.21,overcast clouds
326,Gezing,AT,47.9178,13.1299,32.36,94,75,10.36,broken clouds
327,Sterling,US,39.0062,-77.4286,58.21,48,75,24.16,broken clouds
328,Oistins,BB,13.0667,-59.5333,80.69,69,75,18.41,broken clouds
329,Askino,RU,56.0901,56.5783,40.17,99,100,13.89,overcast clouds
330,Mehran,IR,33.1222,46.1646,84.52,13,99,6.85,overcast clouds
331,Gillette,US,44.2911,-105.5022,46.11,35,0,27.63,clear sky
332,Avera,US,33.194,-82.5271,72.55,32,1,12.41,clear sky
333,Mao,ES,39.8885,4.2658,48.76,57,20,18.41,few clouds
334,Yatou,CN,37.15,122.3833,43.41,79,0,8.08,clear sky
335,Matara,LK,5.9485,80.5353,77.86,85,6,2.73,clear sky
336,Pelym,RU,61.0108,61.9978,33.04,98,100,9.42,overcast clouds
337,Madimba,TZ,-10.4,40.3333,78.73,83,36,3.4,scattered clouds
338,Vanimo,PG,-2.6741,141.3028,78.06,87,99,2.73,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,37.63,81,93,5.03,overcast clouds
340,Gazanjyk,TM,39.2446,55.5154,79.83,17,0,3.96,clear sky
341,Lakatoro,VU,-16.0999,167.4164,77.7,92,100,17.16,overcast clouds
342,Bartica,GY,6.4,-58.6167,84.52,91,99,3.74,overcast clouds
343,Ambon,ID,-3.6954,128.1814,78.94,78,40,8.05,scattered clouds
344,Urgut,UZ,39.4022,67.2431,56.82,44,8,2.77,clear sky
